Date,Price
2014/04/04,145.48,
2014/04/03,145.62,
2014/04/02,144.81,
2014/04/01,144.03,
2014/03/31,143.65,
2014/03/28,143.26,
2014/03/27,143.02,
2014/03/26,143.38,
2014/03/25,143.22,
2014/03/24,142.65,
2014/03/20,142.21,
2014/03/19,142.34,
2014/03/18,141.82,
2014/03/17,141.79,
2014/03/14,141.55,
2014/03/13,142.20,
2014/03/12,142.63,
2014/03/11,142.35,
2014/03/10,142.18,
2014/03/07,142.57,
2014/03/06,142.69,
2014/03/05,142.21,
2014/03/04,141.77,
2014/03/03,141.37,
2014/02/28,142.09,
2014/02/27,141.30,
2014/02/26,141.58,
2014/02/25,142.22,
2014/02/24,143.05,
2014/02/21,142.98,
2014/02/20,142.56,
2014/02/19,142.86,
2014/02/18,142.67,
2014/02/17,142.97,
2014/02/14,142.54,
2014/02/13,142.09,
2014/02/12,142.30,
2014/02/11,142.09,
2014/02/10,141.77,
2014/02/07,141.14,
2014/02/06,140.62,
2014/02/05,140.40,
2014/02/04,140.75,
2014/02/03,141.41,
2014/01/31,141.79,
2014/01/30,142.04,
2014/01/29,143.13,
2014/01/28,142.43,
2014/01/27,142.74,
2014/01/24,143.36,
2014/01/23,144.08,
2014/01/22,143.05,
2014/01/21,142.84,
2014/01/20,142.74,
2014/01/17,143.12,
2014/01/16,142.53,
2014/01/15,141.65,
2014/01/14,140.80,
2014/01/13,140.83,
2014/01/10,140.29,
2014/01/09,140.19,
